fighter_name,fighter_url
Quang Le,http://ufcstats.com/fighter-details/32feae6d9a1e5047
Jose Daniel Medina,http://ufcstats.com/fighter-details/baa9be02c3e3e038
Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
Claudio Puelles,http://ufcstats.com/fighter-details/d747eb273a40a920
Joaquim Silva,http://ufcstats.com/fighter-details/ae7fe94f117f98cf
Tatiana Suarez,http://ufcstats.com/fighter-details/b08012bbe542592a
Amanda Lemos,http://ufcstats.com/fighter-details/3df5493bb279226f
Jesus Aguilar,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Luis Gurule,http://ufcstats.com/fighter-details/29162be25ebef5f0
Alessandro Costa,http://ufcstats.com/fighter-details/3fa97913cfd205d3
Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
Montse Rendon,http://ufcstats.com/fighter-details/60193e707634e560
Alice Pereira,http://ufcstats.com/fighter-details/81d2c551886bd5a1
Rodrigo Sezinando,http://ufcstats.com/fighter-details/c06d6b18862f9a53
Daniil Donchenko,http://ufcstats.com/fighter-details/70dd69b6a703257e
Nassourdine Imavov,http://ufcstats.com/fighter-details/881bf86d4cba8578
Caio Borralho,http://ufcstats.com/fighter-details/4126a78111c0855a
Mauricio Ruffy,http://ufcstats.com/fighter-details/9c393e836a852f30
Modestas Bukauskas,http://ufcstats.com/fighter-details/476fe566d2df676e
Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83
Bolaji Oki,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d
Mason Jones,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d
Axel Sola,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb
Rhys McKee,http://ufcstats.com/fighter-details/f748267c4ab6c127
William Gomis,http://ufcstats.com/fighter-details/e1d40e8782d80bc2
Robert Ruchala,http://ufcstats.com/fighter-details/92aed9d16794f42b
Oumar Sy,http://ufcstats.com/fighter-details/46e2011d92463b7e
Brendson Ribeiro,http://ufcstats.com/fighter-details/49edd0d90f60fb7d
Marcin Tybura,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2
Harry Hardwick,http://ufcstats.com/fighter-details/2dbc60c52de126d8
Kaue Fernandes,http://ufcstats.com/fighter-details/ec13c393d029297d
